Cumhuriyet Dönemi,Attila İlhan,Batı’nın Deli Gömleği,
Cumhuriyet Dönemi,Attila İlhan,Ben Sana Mecburum,
Cumhuriyet Dönemi,Attila İlhan,Bıçağın Ucu,
Cumhuriyet Dönemi,Attila İlhan,Dersaadet’te Sabah Ezanlar,
Cumhuriyet Dönemi,Attila İlhan,Duvar,
Cumhuriyet Dönemi,Attila İlhan,Elde Var Hüzün,
Cumhuriyet Dönemi,Attila İlhan,Fena Halde Leman,
Cumhuriyet Dönemi,Attila İlhan,Gerçekçilik Savaşı,
Cumhuriyet Dönemi,Attila İlhan,Hace Hanım Vay,
Cumhuriyet Dönemi,Attila İlhan,Hangi Atatürk,
Cumhuriyet Dönemi,Attila İlhan,Hangi Sol,
Cumhuriyet Dönemi,Attila İlhan,İkinci Yeni Savaşı,
Cumhuriyet Dönemi,Attila İlhan,Kurtlar Sofrası,
Cumhuriyet Dönemi,Attila İlhan,O. Karanlıkta Biz,
Cumhuriyet Dönemi,Attila İlhan,Sağım Solum Sobe,
Cumhuriyet Dönemi,Attila İlhan,Sırtlan Payı,
Cumhuriyet Dönemi,Attila İlhan,Sisler Bulvarı,
Cumhuriyet Dönemi,Attila İlhan,Sokaktaki Adam,
Cumhuriyet Dönemi,Attila İlhan,Ulusal Kültür Savaşı,
Cumhuriyet Dönemi,Attila İlhan,Yağmur Kaçağı,
Cumhuriyet Dönemi,Attila İlhan,Yanlış Kadınlar Yanlış Erkekler,
Cumhuriyet Dönemi,Attila İlhan,Yaraya Tuz Basmak,
Cumhuriyet Dönemi,Attila İlhan,Zenciler Birbirine Benzemez,
Cumhuriyet Dönemi,Aziz Nesin,Aferin,
Cumhuriyet Dönemi,Aziz Nesin,Ah Biz Eşekler,
Cumhuriyet Dönemi,Aziz Nesin,Ah Biz Ödlek Aydınlar,
Cumhuriyet Dönemi,Aziz Nesin,Az Gittik Uz Gittik,P. Naili Boratay
Cumhuriyet Dönemi,Aziz Nesin,Aziz Dededen Masallar,
Cumhuriyet Dönemi,Aziz Nesin,Azizname,
Cumhuriyet Dönemi,Aziz Nesin,Bay Düdük,
Cumhuriyet Dönemi,Aziz Nesin,Beş Kısa Oyun,
Cumhuriyet Dönemi,Aziz Nesin,Bir Koltuk Nasıl Devrilir,
Cumhuriyet Dönemi,Aziz Nesin,Bir Sürgünün Hatıraları,
Cumhuriyet Dönemi,Aziz Nesin,Bir Şey Yap Met,
Cumhuriyet Dönemi,Aziz Nesin,Biraz Gelir Misin,
Cumhuriyet Dönemi,Aziz Nesin,Biz Adam Olmayız,
Cumhuriyet Dönemi,Aziz Nesin,Böyle Gelmiş Böyle Gitmez,
